SEM_EXM_EXCH_ID, SEM_SEGMENT,SEM_SMST_SECURITY_ID,SEM_INSTRUMENT_NAME,SEM_EXPIRY_CODE,SEM_TRADING_SYMBOL,SEM_LOT_UNITS,SEM_CUSTOM_SYMBOL,SEM_EXPIRY_DATE,SEM_STRIKE_PRICE,SEM_OPTION_TYPE,SEM_TICK_SIZE,SEM_EXPIRY_FLAG,SEM_EXCH_INSTRUMENT_TYPE,SEM_SERIES,SM_SYMBOL_NAME,TICKER,EXPIRY
NSE,D,41061,OPTSTK,0,GODREJPROP-Aug2024-2150-PE,225.0,GODREJPROP 29 AUG 2150 PUT,2024-08-29 14:30:00,2150.0,PE,5.0,M,OP,,,GODREJPROP,Aug2024
NSE,D,41063,OPTSTK,0,GNFC-Aug2024-890-PE,1300.0,GNFC 29 AUG 890 PUT,2024-08-29 14:30:00,890.0,PE,5.0,M,OP,,,GNFC,Aug2024
NSE,D,41079,OPTSTK,0,BHARTIARTL-Aug2024-1940-CE,475.0,BHARTIARTL 29 AUG 1940 CALL,2024-08-29 14:30:00,1940.0,CE,5.0,M,OP,,,BHARTIARTL,Aug2024
NSE,D,41080,OPTSTK,0,BHARTIARTL-Aug2024-1940-PE,475.0,BHARTIARTL 29 AUG 1940 PUT,2024-08-29 14:30:00,1940.0,PE,5.0,M,OP,,,BHARTIARTL,Aug2024
NSE,D,41082,OPTSTK,0,BHARTIARTL-Aug2024-2120-CE,475.0,BHARTIARTL 29 AUG 2120 CALL,2024-08-29 14:30:00,2120.0,CE,5.0,M,OP,,,BHARTIARTL,Aug2024
NSE,D,41085,OPTSTK,0,BHARTIARTL-Aug2024-2120-PE,475.0,BHARTIARTL 29 AUG 2120 PUT,2024-08-29 14:30:00,2120.0,PE,5.0,M,OP,,,BHARTIARTL,Aug2024
NSE,D,41100,OPTSTK,0,GRANULES-Aug2024-775-CE,2000.0,GRANULES 29 AUG 775 CALL,2024-08-29 14:30:00,775.0,CE,5.0,M,OP,,,GRANULES,Aug2024
NSE,D,41101,OPTSTK,0,GRANULES-Aug2024-775-PE,2000.0,GRANULES 29 AUG 775 PUT,2024-08-29 14:30:00,775.0,PE,5.0,M,OP,,,GRANULES,Aug2024
NSE,D,41102,OPTSTK,0,GRANULES-Aug2024-850-CE,2000.0,GRANULES 29 AUG 850 CALL,2024-08-29 14:30:00,850.0,CE,5.0,M,OP,,,GRANULES,Aug2024
NSE,D,41105,OPTSTK,0,GRANULES-Aug2024-850-PE,2000.0,GRANULES 29 AUG 850 PUT,2024-08-29 14:30:00,850.0,PE,5.0,M,OP,,,GRANULES,Aug2024
NSE,D,41106,OPTSTK,0,GRANULES-Aug2024-860-CE,2000.0,GRANULES 29 AUG 860 CALL,2024-08-29 14:30:00,860.0,CE,5.0,M,OP,,,GRANULES,Aug2024
NSE,D,41108,OPTSTK,0,GRANULES-Aug2024-860-PE,2000.0,GRANULES 29 AUG 860 PUT,2024-08-29 14:30:00,860.0,PE,5.0,M,OP,,,GRANULES,Aug2024
NSE,D,41125,OPTSTK,0,GRASIM-Aug2024-1640-CE,250.0,GRASIM 29 AUG 1640 CALL,2024-08-29 14:30:00,1640.0,CE,5.0,M,OP,,,GRASIM,Aug2024
NSE,D,41126,OPTSTK,0,GRASIM-Aug2024-1640-PE,250.0,GRASIM 29 AUG 1640 PUT,2024-08-29 14:30:00,1640.0,PE,5.0,M,OP,,,GRASIM,Aug2024
NSE,D,41128,OPTSTK,0,GRASIM-Aug2024-1980-CE,250.0,GRASIM 29 AUG 1980 CALL,2024-08-29 14:30:00,1980.0,CE,5.0,M,OP,,,GRASIM,Aug2024
